timestamp,license_plate,confidence,vehicle_type,speed,violations
2025-03-29 19:41:49.011,MVSIYSU,0.11,Unknown,0.0,None
2025-03-29 19:41:49.011,NAI3NRU,0.35,Unknown,0.0,None
2025-03-29 19:41:49.011,MVSIYSU,0.11,Car,0.0,None
2025-03-29 19:41:49.011,NAI3NRU,0.35,Car,0.0,None
2025-03-29 19:41:49.011,NAI3NRU,0.35,Car,0.0,None
2025-03-29 19:41:55.134,HMSEW,0.15,Unknown,0.0,None
2025-03-29 19:41:55.134,NAIJHRU,0.06,Unknown,0.0,None
2025-03-29 19:41:55.134,HMSEW,0.15,Car,0.4,Lane Crossing
2025-03-29 19:41:55.134,NAIJHRU,0.06,Car,0.2,Lane Crossing
2025-03-29 19:41:55.134,NAIJHRU,0.06,Car,0.4,Lane Crossing
2025-03-29 19:41:56.277,NAI3NRU,0.48,Unknown,0.0,None
2025-03-29 19:41:56.277,[IHSIGM,0.04,Unknown,0.0,None
2025-03-29 19:41:56.277,[IHSIGM,0.04,Car,0.7,Lane Crossing
2025-03-29 19:41:56.277,NAI3NRU,0.48,Car,0.7,Lane Crossing
2025-03-29 19:41:56.277,NAI3NRU,0.48,Car,0.8,Lane Crossing
2025-03-29 19:41:57.574,WESU,0.10,Unknown,0.0,None
2025-03-29 19:41:57.574,NAI3NRU,0.51,Unknown,0.0,None
2025-03-29 19:41:57.574,WESU,0.10,Car,0.9,Lane Crossing
2025-03-29 19:41:57.574,NAI3NRU,0.51,Car,0.9,Lane Crossing
2025-03-29 19:41:57.574,NAI3NRU,0.51,Car,1.2,Lane Crossing
2025-03-29 19:42:00.692,JOSW,0.14,Unknown,0.0,None
2025-03-29 19:42:00.692,NAIJNRU,0.20,Unknown,0.0,None
2025-03-29 19:42:00.692,JOSW,0.14,Car,0.8,Lane Crossing
2025-03-29 19:42:00.692,NAIJNRU,0.20,Car,0.8,Lane Crossing
2025-03-29 19:42:00.692,NAIJNRU,0.20,Car,1.2,Lane Crossing
2025-03-29 19:42:02.458,WEISU,0.20,Unknown,0.0,None
2025-03-29 19:42:02.458,NAIJNRU,0.42,Unknown,0.0,None
2025-03-29 19:42:02.458,WEISU,0.20,Car,0.8,Lane Crossing
2025-03-29 19:42:02.458,NAIJNRU,0.42,Car,0.8,Lane Crossing
